,0
0,184.86519185399095
1,287.3405176870625
2,65.1364402095225
3,284.8717951363759
4,263.0566229327988
5,276.3151517198055
6,262.9675730572316
7,287.34114351661054
8,278.66071637210166
9,246.32060124418382
10,-177.47898590069292
11,32.57792635062998
12,276.86893329782987
13,266.46040666466604
14,267.298994646203
15,287.43073474095814
16,285.6959742413063
17,272.2544927804205
18,249.90214139664448
19,270.0762892302039
20,250.07080673159112
21,286.4004805980354
22,272.4944447770315
23,260.50215700862003
24,276.07819622524914
25,272.90437856752067
26,266.0303371161606
27,270.0736329426345
28,272.72789190338744
29,272.81210402157893
30,252.82657777105163
31,298.53846639476444
32,248.11406077082617
33,275.46840523390506
34,241.1182671369902
35,278.7587577872818
36,242.38073025420272
37,272.356507545702
38,254.41285239080057
39,249.3358861118882
40,293.99350385796924
41,227.16958661223023
42,291.3444906734858
43,151.01663420379708
44,255.08452691722258
45,167.25282871658922
46,288.82790856550434
47,261.23278207049725
48,292.14331683268347
49,251.8360971421007
50,30.20187179473774
51,268.0308499496347
52,292.3974466695445
53,273.06296709516533
54,269.9753375151208
55,286.95597354025494
56,236.56863137629767
57,288.5089550670042
58,243.2594666748117
59,254.7629861709877
60,303.75776766715484
61,258.4475287219209
62,137.32356489723338
63,241.42491556159797
64,278.16544805216245
65,242.40693005044974
66,261.2621247178273
67,227.47495668542354
68,281.1768513616745
69,257.99213961152907
70,255.10215346042548
71,254.62565432389732
72,207.47124295316888
73,185.81966364335636
74,280.5761611049975
75,268.87943106066245
76,68.7225589358076
77,253.49161361652793
78,287.4333421101582
79,239.4595870179142
80,252.90258426763262
81,294.5091098362407
82,-86.62018416551079
83,199.1105632027215
84,301.13009198520183
85,222.4968350460103
86,258.1342410651975
87,251.12034148673237
88,22.065625893997193
89,244.44363075004813
90,259.2019992139442
91,247.9088066296127
92,284.4028373893063
93,233.7849474048755
94,1.930376460433024
95,272.6339325611927
96,-19.731139737227664
97,252.97797869483517
98,265.87118618254704
99,266.50183025083027
